Ticker,Exchange,Name,Isin,Cusip,Sedol,Bloomberg
LBTYB,XNGS,Liberty Global Plc Cl B,GB00B8W67779,G5480U112,B8W6777,LBTYB US Equity
CHKP,XNGS,Check Point Software Technologi,IL0010824113,,2181334,CHKP US Equity
LBTYA,XNGS,Liberty Global Plc - A,GB00B8W67662,G5480U104,B8W6766,LBTYA US Equity
MELI,XNGS,Mercadolibre Inc,US58733R1023,58733R102,B23X1H3,MELI US Equity
STX,XNGS,Seagate Technology Holdings Pl,,,BKVD2N4,STX US Equity
NXPI,XNGS,Nxp Semiconductors Nv,NL0009538784,N6596X109,B505PN7,NXPI US Equity
SPLK,XNGS,Splunk Inc,US8486371045,848637104,B424494,SPLK US Equity
SIRI,XNGS,Sirius Xm Holdings,US82968B1035,82968B103,BGLDK10,SIRI US Equity
MRVL,XNGS,Marvell Technology Inc,US5738741041,573874104,BNKJSM5,MRVL US Equity
TEAM,XNGS,Atlassian Corp Plc,,,,TEAM US Equity
LCID,XNGS,Lucid Group Inc,US5494981039,549498103,BP0TR77,LCID US Equity
CTXS,XNGS,Citrix Systems Inc,US1773761002,177376100,2182553,CTXS US Equity
DDOG,XNGS,Datadog Inc Cl A,US23804L1035,23804L103,BKT9Y49,DDOG US Equity
PANW,XNGS,Palo Alto Networks,US6974351057,697435105,B87ZMX0,PANW US Equity
CRWD,XNGS,Crowdstrike Holdings Inc Cl A,US22788C1053,22788C105,BJJP138,CRWD US Equity
LULU,XNGS,Lululemon Athletica Inc,US5500211090,550021109,B23FN39,LULU US Equity
BMRN,XNGS,Biomarin Pharmaceuticals,US09061G1013,09061G101,2437071,BMRN US Equity
SRCL,XNGS,Stericycle Inc,US8589121081,858912108,2860826,SRCL US Equity
ZM,XNGS,Zoom Video Communications Cl A,US98980L1017,98980L101,BGSP7M9,ZM US Equity
WDAY,XNGS,Workday Inc A,US98138H1014,98138H101,B8K6ZD1,WDAY US Equity
SGEN,XNGS,Seagen Inc,US81181C1045,81181C104,BLPK4D2,SGEN US Equity
DOCU,XNGS,Docusign Inc,US2561631068,256163106,BFYT7B7,DOCU US Equity
ZS,XNGS,Zscaler Inc,US98980G1022,98980G102,BZ00V34,ZS US Equity
MAT,XNGS,Mattel Inc,US5770811025,577081102,2572303,MAT US Equity
OKTA,XNGS,Okta Inc Cl A,US6792951054,679295105,BDFZSP1,OKTA US Equity
ABNB,XNGS,Airbnb Inc Cl A,US0090661010,009066101,BMGYYH4,ABNB US Equity
LILAK,XNGS,Liberty Latin America Ltd Cl C,BMG9001E1286,,BD9Q3Q6,LILAK US Equity
LILA,XNGS,Liberty Latin America Ltd Cl A,BMG9001E1021,,BD9Q3P5,LILA US Equity
BBBY,XNGS,Bed Bath And Beyond,US0758961009,075896100,2085878,BBBY US Equity
IDXX,XNGS,Idexx Laboratories Inc,US45168D1046,45168D104,2459202,IDXX US Equity
AMD,XNGS,Advanced Micro Devices Inc,US0079031078,007903107,2007849,AMD US Equity
VRSN,XNGS,Verisign Inc,US92343E1029,,2142922,VRSN US Equity
ORLY,XNGS,Oreilly Automotive Inc,US67103H1077,67103H107,B65LWX6,ORLY US Equity
TMUS,XNGS,T-Mobile Us Inc,US8725901040,872590104,B94Q9V0,TMUS US Equity
EXPE,XNGS,Expedia Group,US30212P3038,30212P303,B748CK2,EXPE US Equity
BKNG,XNGS,Booking Holdings Inc,US09857L1089,09857L108,BDRXDB4,BKNG US Equity
SWKS,XNGS,Skyworks Solutions Inc,US83088M1027,83088M102,2961053,SWKS US Equity
NFLX,XNGS,Netflix Inc,US64110L1061,64110L106,2857817,NFLX US Equity
REGN,XNGS,Regeneron Pharmaceuticals,US75886F1075,75886F107,2730190,REGN US Equity
CHTR,XNGS,Charter Communications,US16119P1084,16119P108,BZ6VT82,CHTR US Equity
ILMN,XNGS,Illumina Inc,US4523271090,452327109,2613990,ILMN US Equity
VRTX,XNGS,Vertex Pharmaceuticals,US92532F1003,92532F100,2931034,VRTX US Equity
INCY,XNGS,Incyte Co,US45337C1027,45337C102,2471950,INCY US Equity
PEP,XNGS,Pepsico Inc,US7134481081,713448108,2681511,PEP US Equity
ULTA,XNGS,Ulta Beauty Inc,US90384S3031,90384S303,B28TS42,ULTA US Equity
SBUX,XNGS,Starbucks Co,US8552441094,855244109,2842255,SBUX US Equity
AAL,XNGS,American Airlines Gp,US02376R1023,02376R102,BCV7KT2,AAL US Equity
MRNA,XNGS,Moderna Inc,US60770K1079,60770K107,BGSXTS3,MRNA US Equity
AMZN,XNGS,AmazonCom Inc,US0231351067,023135106,2000019,AMZN US Equity
ODFL,XNGS,Old Dominion Freight Line Inc Com,US6795801009,679580100,2656423,ODFL US Equity
NVDA,XNGS,Nvidia Co,US67066G1040,67066G104,2379504,NVDA US Equity
WDC,XNGS,Western Digital Cp,US9581021055,958102105,2954699,WDC US Equity
ANSS,XNGS,Ansys Inc,US03662Q1058,03662Q105,2045623,ANSS US Equity
BIIB,XNGS,Biogen Idec,US09062X1037,09062X103,2455965,BIIB US Equity
FAST,XNGS,Fastenal Co,US3119001044,311900104,2332262,FAST US Equity
KDP,XNGS,Keurig Dr Pepper Inc,US49271V1008,49271V100,BD3W133,KDP US Equity
CTSH,XNGS,Cognizant Technology Solutions Corp,US1924461023,192446102,2257019,CTSH US Equity
GILD,XNGS,Gilead Sciences Inc,US3755581036,375558103,2369174,GILD US Equity
LRCX,XNGS,Lam Research Co,US5128071082,512807108,2502247,LRCX US Equity
CMCSA,XNGS,Comcast Corp A,US20030N1019,20030N101,2044545,CMCSA US Equity
AKAM,XNGS,Akamai Tech,US00971T1016,,2507457,AKAM US Equity
WYNN,XNGS,Wynn Resorts Ltd,US9831341071,983134107,2963811,WYNN US Equity
VRSK,XNGS,Verisk Analytics In,US92345Y1064,,B4P9W92,VRSK US Equity
ALGN,XNGS,Align Technology Inc,US0162551016,016255101,2679204,ALGN US Equity
TXN,XNGS,Texas Instruments I,US8825081040,882508104,2885409,TXN US Equity
MNST,XNGS,Monster Beverage Cp,US61174X1090,61174X109,BZ07BW4,MNST US Equity
FISV,XNGS,Fiserv Inc,US3377381088,337738108,2342034,FISV US Equity
DLTR,XNGS,Dollar Tree Inc,US2567461080,256746108,2272476,DLTR US Equity
ISRG,XNGS,Intuitive Surgical,US46120E6023,,2871301,ISRG US Equity
ADI,XNGS,Analog Devices Inc,US0326541051,032654105,2032067,ADI US Equity
ADBE,XNGS,Adobe Systems,US00724F1012,00724F101,2008154,ADBE US Equity
PYPL,XNGS,Paypal Holdings,US70450Y1038,,BYW36M8,PYPL US Equity
COST,XNGS,Costco Wholesale Co,US22160K1051,22160K105,2701271,COST US Equity
XRAY,XNGS,Dentsply Sirona,US24906P1093,24906P109,BYNPPC6,XRAY US Equity
QCOM,XNGS,Qualcomm Inc,US7475251036,747525103,2714923,QCOM US Equity
XEL,XNGS,Xcel Energy Inc,US98389B1008,98389B100,2614807,XEL US Equity
KLAC,XNGS,Klac,US4824801009,482480100,2480138,KLAC US Equity
SNPS,XNGS,Synopsys Inc,US8716071076,871607107,2867719,SNPS US Equity
CSX,XNGS,Csx Corp,US1264081035,126408103,2160753,CSX US Equity
TTWO,XNGS,Take Two Interactive Software,US8740541094,874054109,2122117,TTWO US Equity
MDLZ,XNGS,Mondelez International Inc Cl A,US6092071058,609207105,B8CKK03,MDLZ US Equity
ADSK,XNGS,Autodesk Inc,US0527691069,052769106,2065159,ADSK US Equity
EBAY,XNGS,Ebay Inc,US2786421030,278642103,2293819,EBAY US Equity
CDW,XNGS,Cdw Corp,US12514G1085,12514G108,BBM5MD6,CDW US Equity
CPRT,XNGS,Copart Inc,US2172041061,217204106,2208073,CPRT US Equity
TSLA,XNGS,Tesla Inc,US88160R1014,88160R101,B616C79,TSLA US Equity
MAR,XNGS,Marriott Intl,US5719032022,571903202,2210614,MAR US Equity
ROST,XNGS,Ross Stores Inc,US7782961038,778296103,2746711,ROST US Equity
AMAT,XNGS,Applied Materials,US0382221051,038222105,2046552,AMAT US Equity
CTAS,XNGS,Cintas Co,US1729081059,172908105,2197137,CTAS US Equity
EA,XNGS,Electronic Arts Ea,US2855121099,285512109,2310194,EA US Equity
INTU,XNGS,Intuit,US4612021034,461202103,2459020,INTU US Equity
DXCM,XNGS,Dexcom Inc,US2521311074,252131107,B0796X4,DXCM US Equity
FTNT,XNGS,Fortinet Inc,US34959E1091,,B5B2106,FTNT US Equity
KHC,XNGS,Kraft Heinz Co,US5007541064,500754106,BYRY499,KHC US Equity
HSIC,XNGS,Henry Schein Inc,US8064071025,806407102,2416962,HSIC US Equity
CHRW,XNGS,Ch Robinson Worldwide Inc,US12541W2098,12541W209,2116228,CHRW US Equity
MCHP,XNGS,Microchip Technology Incorporat,US5950171042,595017104,2592174,MCHP US Equity
ATVI,XNGS,Activision Blizzard Inc,US00507V1098,00507V109,2575818,ATVI US Equity
MU,XNGS,Micron Technology I,US5951121038,595112103,2588184,MU US Equity
CDNS,XNGS,Cadence Design Systems,US1273871087,127387108,2302232,CDNS US Equity
NTAP,XNGS,Netapp Inc,US64110D1046,64110D104,2630643,NTAP US Equity
EXPD,XNGS,Expeditors International Of Was,US3021301094,302130109,2325507,EXPD US Equity
EXC,XNGS,Exelon Co,US30161N1019,30161N101,2670519,EXC US Equity
GOOG,XNGS,Alphabet Inc Cl C,US02079K1079,02079K107,BYY88Y7,GOOG US Equity
FOXA,XNGS,Fox Corp Cl A,US35137L1052,35137L105,BJJMGL2,FOXA US Equity
MTCH,XNGS,Match Group Inc,US57667L1070,57667L107,BK80XH9,MTCH US Equity
AEP,XNGS,American Electric Power Co Inc,US0255371017,025537101,2026242,AEP US Equity
AVGO,XNGS,Broadcom Inc,US11135F1012,11135F101,BDZ78H9,AVGO US Equity
INTC,XNGS,Intel Co,US4581401001,458140100,2463247,INTC US Equity
HON,XNGS,Honeywell International,US4385161066,438516106,2020459,HON US Equity
AAPL,XNGS,Apple Inc,US0378331005,037833100,2046251,AAPL US Equity
WBA,XNGS,Walgreens Boots Alliance,US9314271084,931427108,BTN1Y44,WBA US Equity
AMGN,XNGS,Amgen Inc,US0311621009,031162100,2023607,AMGN US Equity
CSCO,XNGS,Cisco Systems,US17275R1023,17275R102,2198163,CSCO US Equity
MSFT,XNGS,Microsoft Co,US5949181045,594918104,2588173,MSFT US Equity
ADP,XNGS,Automatic Data Processing,US0530151036,053015103,2065308,ADP US Equity
SEDG,XNGS,Solaredge Technologies Inc,US83417M1045,83417M104,BWC52Q6,SEDG US Equity
PCVX,XNGS,Vaxcyte Inc,US92243G1085,92243G108,BKPVGH6,PCVX US Equity
SSRM,XNGS,Ssr Mining,CA7847301032,784730103,BF7MQ72,SSRM US Equity
TRIP,XNGS,Tripadvisor Inc,US8969452015,896945201,B6ZC3N6,TRIP US Equity
GABC,XNGS,German American Bancorp,US3738651047,373865104,2502151,GABC US Equity
CHX,XNGS,Championx Corp,US15872M1045,15872M104,BMW7N69,CHX US Equity
MRTN,XNGS,Marten Transport L,US5730751089,573075108,2568357,MRTN US Equity
TWST,XNGS,Twist Bioscience Corp,US90184D1000,90184D100,BGKG6G7,TWST US Equity
MANH,XNGS,Manhattan Associates,US5627501092,562750109,2239471,MANH US Equity
IBKR,XNGS,Interactive Brokers Group Inc,US45841N1072,45841N107,B1WT4X2,IBKR US Equity
VSAT,XNGS,Viasat Inc,US92552V1008,92552V100,2946243,VSAT US Equity
MDRX,XNGS,Allscripts Healthcare Solutns,US01988P1084,01988P108,2710039,MDRX US Equity
GFS,XNGS,Globalfoundries Inc,KYG393871085,G39387108,BMW7F63,GFS US Equity
NBIX,XNGS,Neurocrine Biosciences,US64125C1099,64125C109,2623911,NBIX US Equity
PLUS,XNGS,Eplus,US2942681071,294268107,2597748,PLUS US Equity
RVMD,XNGS,Revolution Medicines Inc,US76155X1000,76155X100,BL71K91,RVMD US Equity
CVET,XNGS,Covetrus Inc,US22304C1009,22304C100,BHZSB82,CVET US Equity
PPBI,XNGS,Pacific Premier Bancorp,US69478X1054,69478X105,2767217,PPBI US Equity
